Plant Name,Cost,Packets,Total Seed Price,,Material,Cost,Quantity,Total,,,
,,,$0.00,,Filament,$13.75,1,$13.75,,2026 Total Cost for all seeds and materials WITH ONE TIME costs:,$53.39
,,,$0.00,,Barina Grow Lights,$31.00,1,$31.00,,2026 Total Cost for all plants and materials WITHOUT ONE TIME costs:,$5.51
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,Miracle Grow Seed Starter Mix,$5.15,1,$5.15,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,Seed Price,$0.00,,,,Total,$49.90,,,
,,Shipping,$0.00,,,,Sales Tax,$3.49,,,
,,Total Seed Price,$0.00,,,,Total Material Price,$53.39,,,
* ,,,,,,,,,,,
** Average last frost: April 15th,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
